names,counts,pop,greenspace,areas
Ãstfold,0,287198,170.78,4209.91694301
Akershus,0,584899,201.08,4941.87772405
Aust-Agder,2,114767,1898.83,9223.15021202
Buskerud,2,274737,2018.6,14892.328301
Finnmark,65,75605,5450.05,48809.3223534
Hedmark,154,195153,3581.91,27453.7559791
Hordaland,28,511357,3124.03,15582.4479229
Møre og Romsdal,86,263719,4167.44,15185.4770402
Nord-Trøndelag,110,135738,3918.92,22722.258952
Nordland,143,241682,7227.08,38653.786765
Oppland,218,188807,7645.57,25155.4449303
Oslo,0,647676,40.08,454.737135827
Rogaland,0,466302,1150.65,9274.73525268
Sør-Trøndelag,165,310047,3683.81,19000.0537265
Sogn og Fjordane,28,109170,4087.87,18643.7966482
Telemark,5,171953,1812.18,15314.1589212
Troms,58,163453,3997.57,25943.2716655
Vest-Agder,0,180877,944.47,7414.29975023
Vestfold,0,242662,51.63,2248.14715408
